engine_id,Isolation Forest,Z-score only,Causal only,Full pipeline,Full pipeline + veto
1,,,,,
2,,141.0,,,
3,,192.0,,75.0,
4,,179.0,,,
5,,183.0,,,
6,,171.0,,,
7,,248.0,249.0,249.0,249.0
8,,217.0,,,
9,,164.0,,,
10,,285.0,286.0,285.0,285.0
11,,179.0,,148.0,
12,,304.0,338.0,338.0,338.0
13,,288.0,288.0,288.0,288.0
14,,152.0,,,
15,,151.0,151.0,151.0,151.0
16,,175.0,196.0,196.0,196.0
17,,188.0,210.0,210.0,210.0
18,,159.0,158.0,158.0,158.0
19,,216.0,217.0,216.0,216.0
20,,172.0,31.0,33.0,21.0
21,,182.0,202.0,165.0,
22,,147.0,,,
23,,242.0,242.0,242.0,242.0
24,199.0,202.0,205.0,205.0,205.0
25,,171.0,156.0,,
26,,165.0,194.0,194.0,194.0
27,,201.0,205.0,198.0,198.0
28,,237.0,,,
29,,249.0,259.0,249.0,249.0
30,,253.0,,,
31,12.0,113.0,162.0,50.0,24.0
32,190.0,178.0,192.0,192.0,192.0
33,,154.0,,112.0,
34,9.0,209.0,209.0,209.0,209.0
35,12.0,207.0,33.0,61.0,58.0
36,,142.0,37.0,55.0,34.0
37,,134.0,139.0,134.0,134.0
38,,170.0,,63.0,
39,,,178.0,178.0,178.0
40,,159.0,41.0,75.0,44.0
41,,88.0,140.0,119.0,
42,,152.0,156.0,156.0,156.0
43,,224.0,170.0,224.0,224.0
44,,159.0,,,
45,,265.0,,,
46,,179.0,,,
47,,207.0,,,
48,,130.0,,,
49,,316.0,322.0,317.0,317.0
50,,93.0,149.0,,
51,,221.0,207.0,207.0,
52,217.0,217.0,217.0,217.0,217.0
53,,180.0,170.0,170.0,
54,214.0,210.0,216.0,216.0,216.0
55,,214.0,,,
56,37.0,150.0,37.0,83.0,39.0
57,,262.0,,,
58,,142.0,199.0,46.0,
59,,197.0,205.0,205.0,205.0
60,,203.0,,,
61,,175.0,175.0,175.0,175.0
62,272.0,273.0,285.0,284.0,284.0
63,,226.0,,,
64,,133.0,37.0,37.0,
65,194.0,194.0,198.0,197.0,197.0
66,,159.0,43.0,46.0,23.0
67,,97.0,136.0,,
68,9.0,168.0,188.0,29.0,21.0
69,,151.0,,128.0,
70,,219.0,,205.0,
71,,156.0,175.0,175.0,175.0
72,,167.0,168.0,167.0,167.0
73,,229.0,240.0,240.0,240.0
74,,228.0,,,
75,,173.0,,,
76,11.0,206.0,206.0,206.0,206.0
77,,177.0,185.0,185.0,185.0
78,176.0,178.0,178.0,178.0,178.0
79,,97.0,140.0,,
80,,216.0,187.0,187.0,
81,11.0,180.0,197.0,180.0,24.0
82,12.0,92.0,23.0,29.0,13.0
83,,158.0,175.0,158.0,
84,,184.0,,,
85,,147.0,,,
86,,153.0,,,
87,,155.0,166.0,153.0,153.0
88,,181.0,,,
89,,303.0,,,
90,,163.0,29.0,32.0,29.0
91,41.0,271.0,62.0,133.0,71.0
92,,169.0,32.0,83.0,32.0
93,,326.0,,218.0,
94,,186.0,,55.0,
95,,170.0,200.0,200.0,200.0
96,,223.0,229.0,229.0,229.0
97,,145.0,214.0,213.0,213.0
98,,147.0,,147.0,
99,209.0,210.0,213.0,213.0,213.0
100,,209.0,209.0,209.0,209.0
