engine_id,first_alert_cycle,true_failure_cycle,lead_time_cycles
1,,143,
2,,147,
3,120.0,195,75.0
4,,188,
5,,189,
6,,198,
7,3.0,251,248.0
8,,261,
9,,166,
10,3.0,288,285.0
11,,180,
12,37.0,341,304.0
13,,290,
14,,153,
15,8.0,159,151.0
16,38.0,197,159.0
17,,215,
18,13.0,161,148.0
19,6.0,222,216.0
20,167.0,200,33.0
21,,205,
22,,150,
23,1.0,243,242.0
24,167.0,206,39.0
25,,193,
26,,195,
27,,206,
28,,255,
29,,261,
30,,258,
31,154.0,204,50.0
32,,193,
33,44.0,156,112.0
34,41.0,210,169.0
35,148.0,209,61.0
36,96.0,145,49.0
37,,142,
38,123.0,175,52.0
39,,179,
40,86.0,161,75.0
41,71.0,141,70.0
42,14.0,166,152.0
43,,231,
44,,163,
45,,266,
46,145.0,193,48.0
47,,208,
48,,170,
49,8.0,324,316.0
50,,153,
51,,258,
52,1.0,218,217.0
53,157.0,190,33.0
54,8.0,218,210.0
55,,250,
56,68.0,151,83.0
57,,263,
58,167.0,213,46.0
59,11.0,208,197.0
60,,247,
61,5.0,180,175.0
62,22.0,286,264.0
63,,227,
64,159.0,196,37.0
65,5.0,199,194.0
66,115.0,161,46.0
67,,148,
68,166.0,195,29.0
69,,175,
70,,246,
71,,186,
72,14.0,181,167.0
73,63.0,243,180.0
74,,263,
75,,201,
76,9.0,215,206.0
77,160.0,196,36.0
78,1.0,179,178.0
79,,164,
80,,223,
81,170.0,221,51.0
82,142.0,171,29.0
83,,210,
84,,230,
85,,152,
86,,199,
87,,172,
88,,183,
89,,313,
90,142.0,174,32.0
91,144.0,272,128.0
92,87.0,170,83.0
93,223.0,329,106.0
94,,188,
95,,217,
96,,234,
97,,216,
98,,180,
99,4.0,214,210.0
100,9.0,218,209.0
