engine_id,Isolation Forest,Z-score only,Causal only,Full pipeline,Full pipeline + veto
1,,262,276.0,274.0,274.0
2,,160,,135.0,
3,,260,260.0,260.0,260.0
4,,186,,,
5,238.0,238,237.0,238.0,238.0
6,,160,,,
7,,227,,79.0,
8,,235,242.0,59.0,
9,,289,291.0,291.0,291.0
10,,118,187.0,174.0,
11,,177,,,
12,,251,,,
13,,176,,145.0,
14,,173,36.0,53.0,
15,,219,219.0,219.0,219.0
16,86.0,181,181.0,181.0,181.0
17,,365,365.0,365.0,365.0
18,370.0,375,375.0,375.0,375.0
19,,187,198.0,198.0,198.0
20,,260,262.0,262.0,262.0
21,186.0,280,280.0,280.0,280.0
22,,236,237.0,236.0,236.0
23,,479,482.0,480.0,480.0
24,26.0,477,483.0,483.0,483.0
25,,215,,80.0,
26,,129,140.0,137.0,137.0
27,,191,191.0,191.0,191.0
28,,188,213.0,213.0,213.0
29,,201,178.0,201.0,201.0
30,420.0,421,421.0,421.0,421.0
31,,225,225.0,225.0,225.0
32,,174,,,
33,,234,250.0,245.0,245.0
34,,165,,65.0,
35,,226,229.0,229.0,229.0
36,,225,225.0,225.0,225.0
37,,167,,,
38,,115,147.0,115.0,
39,317.0,317,315.0,317.0,317.0
40,,353,353.0,353.0,353.0
41,,231,231.0,231.0,231.0
42,,201,,133.0,
43,,260,260.0,260.0,260.0
44,,211,,79.0,
45,,191,197.0,196.0,196.0
46,10.0,178,184.0,184.0,184.0
47,,169,176.0,,
48,,211,,65.0,
49,342.0,345,345.0,345.0,345.0
50,,149,30.0,44.0,18.0
51,,133,142.0,,
52,,156,156.0,156.0,156.0
53,,93,142.0,,
54,,132,118.0,131.0,131.0
55,,234,,57.0,55.0
56,,234,,,
57,,224,,,
58,,143,143.0,143.0,143.0
59,,185,,56.0,
60,,217,222.0,222.0,222.0
61,,206,206.0,206.0,206.0
62,280.0,281,281.0,281.0,281.0
63,,253,253.0,253.0,253.0
64,289.0,298,298.0,298.0,298.0
65,,193,192.0,193.0,193.0
66,,205,,204.0,204.0
67,,277,276.0,276.0,276.0
68,283.0,290,289.0,290.0,290.0
69,,195,204.0,203.0,203.0
70,,139,,110.0,110.0
71,,400,401.0,401.0,401.0
72,,276,274.0,276.0,276.0
73,,197,206.0,201.0,201.0
74,,183,183.0,183.0,183.0
75,225.0,235,235.0,235.0,235.0
76,,197,204.0,204.0,204.0
77,,464,466.0,466.0,466.0
78,,298,298.0,298.0,298.0
79,,183,34.0,47.0,34.0
80,217.0,217,216.0,217.0,217.0
81,,169,169.0,169.0,169.0
82,11.0,199,199.0,199.0,199.0
83,,289,,234.0,
84,,168,179.0,178.0,178.0
85,,163,173.0,172.0,172.0
86,,159,41.0,49.0,37.0
87,,268,285.0,285.0,285.0
88,,182,184.0,184.0,184.0
89,,160,160.0,160.0,160.0
90,,234,255.0,255.0,255.0
91,,129,81.0,81.0,
92,15.0,277,278.0,278.0,278.0
93,,220,224.0,222.0,222.0
94,27.0,341,342.0,342.0,342.0
95,,336,339.0,337.0,337.0
96,,470,469.0,470.0,470.0
97,,216,217.0,216.0,216.0
98,,197,41.0,78.0,41.0
99,12.0,286,295.0,295.0,295.0
100,270.0,274,271.0,274.0,274.0
