engine_id,first_alert_cycle,true_failure_cycle,lead_time_cycles
1,,143,
2,,147,
3,,195,
4,,188,
5,,189,
6,,198,
7,,251,
8,,261,
9,,166,
10,,288,
11,,180,
12,,341,
13,,290,
14,,153,
15,,159,
16,,197,
17,,215,
18,,161,
19,,222,
20,,200,
21,,205,
22,,150,
23,,243,
24,7.0,206,199.0
25,,193,
26,,195,
27,,206,
28,,255,
29,,261,
30,,258,
31,192.0,204,12.0
32,3.0,193,190.0
33,,156,
34,201.0,210,9.0
35,197.0,209,12.0
36,,145,
37,,142,
38,,175,
39,,179,
40,,161,
41,,141,
42,,166,
43,,231,
44,,163,
45,,266,
46,,193,
47,,208,
48,,170,
49,,324,
50,,153,
51,,258,
52,1.0,218,217.0
53,,190,
54,4.0,218,214.0
55,,250,
56,114.0,151,37.0
57,,263,
58,,213,
59,,208,
60,,247,
61,,180,
62,14.0,286,272.0
63,,227,
64,,196,
65,5.0,199,194.0
66,,161,
67,,148,
68,186.0,195,9.0
69,,175,
70,,246,
71,,186,
72,,181,
73,,243,
74,,263,
75,,201,
76,204.0,215,11.0
77,,196,
78,3.0,179,176.0
79,,164,
80,,223,
81,210.0,221,11.0
82,159.0,171,12.0
83,,210,
84,,230,
85,,152,
86,,199,
87,,172,
88,,183,
89,,313,
90,,174,
91,231.0,272,41.0
92,,170,
93,,329,
94,,188,
95,,217,
96,,234,
97,,216,
98,,180,
99,5.0,214,209.0
100,,218,
